DBMS,Rank_Apr-2024,Rank_Mar-2024,Rank_Apr-2023,Database Model,Score_Apr-2024,Score_Mar-2024,Score_Apr-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Microsoft Access,11.0,11.0,10.0,Relational,105.4,-2.52,-25.97,https://db-engines.com/en/system/Microsoft+Access,,Microsoft,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,Bundled with Microsoft Office,no
Cassandra,12.0,12.0,11.0,"Wide column, Multi-model",103.86,-0.72,-7.94,https://db-engines.com/en/system/Cassandra,"Wide column store,Vector DBMS",Apache Software Foundation,Wide-column store based on ideas of BigTable and DynamoDB,2008.0,"4.1.3, July 2023",Open Source,Apache version 2,no
MariaDB,13.0,13.0,13.0,"Relational, Multi-model",93.81,-1.22,-2.13,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS","MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)","MySQL,application compatible open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities. MariaDB ColumnStore provides a column-oriented storage engine and MariaDB Xpand supports distributed SQL.",2009.0,"11.3.2, February 2024",Open Source,"GPL version 2, commercial enterprise subscription available",no
Splunk,14.0,14.0,14.0,Search engine,88.71,-0.97,+3.27,https://db-engines.com/en/system/Splunk,,Splunk Inc.,Analytics Platform for Big Data,2003.0,,commercial,Limited free edition and free developer edition available,no
Microsoft Azure SQL Database,15.0,15.0,15.0,"Relational, Multi-model",78.4,-0.11,-0.66,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,"Database as a Service offering with high compatibility to,Microsoft SQL Server",2010.0,V12,commercial,,yes
Amazon DynamoDB,16.0,16.0,16.0,Multi-model,77.57,-0.15,+0.12,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store",Amazon,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",2012.0,,commercial,free tier for a limited amount of database operations,yes
Databricks,17.0,17.0,19.0,Multi-model,76.33,+1.99,+15.36,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS",Databricks,The Databricks Lakehouse Platform combines elements of data lakes and data warehouses to provide a unified view onto structured and unstructured data. It is based on Apache Spark.,2013.0,,commercial,,yes
Hive,18.0,18.0,17.0,Relational,62.59,-2.24,-9.07,https://db-engines.com/en/system/Hive,,Apache Software Foundation,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no
Google BigQuery,19.0,19.0,20.0,Relational,61.9,-0.77,+8.59,https://db-engines.com/en/system/Google+BigQuery,,Google,Large scale data warehouse service with append-only tables,2010.0,,commercial,,yes
FileMaker,20.0,21.0,23.0,Relational,49.73,+0.92,-0.27,https://db-engines.com/en/system/FileMaker,,Claris,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",1983.0,"19.4.1, November 2021",commercial,,no
Teradata,21.0,20.0,18.0,"Relational, Multi-model",47.84,-1.10,-13.75,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no
SAP HANA,22.0,22.0,22.0,"Relational, Multi-model",45.84,+0.35,-5.24,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP,"In-memory, column based data store. Available as appliance or cloud service",2010.0,"2.0 SPS07 (April 4, 2023), April 2023",commercial,,no
Neo4j,23.0,23.0,21.0,Graph,44.47,+0.11,-7.13,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,"5.19, April 2024",Open Source,"GPL version3, commercial licenses available",no
Solr,24.0,24.0,24.0,"Search engine, Multi-model",44.28,+0.37,-3.94,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS",Apache Software Foundation,"A widely used distributed, scalable,search engine,based on,Apache Lucene",2006.0,"9.5.0, February 2024",Open Source,Apache Version 2,no
SAP Adaptive Server,25.0,25.0,25.0,"Relational, Multi-model",37.12,-0.37,-5.75,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS","SAP, Sybase","The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",1987.0,16.0,commercial,,no
HBase,26.0,26.0,26.0,Wide column,31.25,-0.35,-6.55,https://db-engines.com/en/system/HBase,,Apache Software Foundation,Wide-column store based on Apache Hadoop and on concepts of BigTable,2008.0,"2.3.4, January 2021",Open Source,Apache version 2,no
Microsoft Azure Cosmos DB,27.0,27.0,27.0,Multi-model,29.85,-0.54,-5.23,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft,"Globally distributed, horizontally scalable, multi-model database service",2014.0,,commercial,,yes
InfluxDB,28.0,28.0,29.0,"Time Series, Multi-model",26.56,-0.33,-2.03,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS",,"DBMS for storing time series, events and metrics",2013.0,"2.7.6, April 2024",Open Source,MIT-License; commercial enterprise version available,no
PostGIS,29.0,29.0,28.0,"Spatial, Multi-model",23.9,-0.82,-5.51,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS",,"Spatial extension of,PostgreSQL",2005.0,"3.4.2, February 2024",Open Source,GPL v2.0,no
Microsoft Azure Synapse Analytics,30.0,30.0,34.0,Relational,22.71,-1.24,+1.63,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,Microsoft,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",2016.0,,commercial,,yes
Firebird,31.0,31.0,31.0,Relational,21.06,-1.39,-2.27,https://db-engines.com/en/system/Firebird,,Firebird Foundation,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",2000.0,"5.0.0, January 2024",Open Source,Initial Developer's Public License,no
Memcached,32.0,32.0,32.0,Key-value,20.74,-0.07,-1.25,https://db-engines.com/en/system/Memcached,,Danga Interactive,"In-memory key-value store, originally intended for caching",2003.0,"1.6.25, March 2024",Open Source,BSD license,no
Spark SQL,33.0,34.0,35.0,Relational,19.15,-0.41,-0.47,https://db-engines.com/en/system/Spark+SQL,,Apache Software Foundation,Spark SQL is a component on top of 'Spark Core' for structured data processing,2014.0,"3.5.0 ( 2.13), September 2023",Open Source,Apache 2.0,no
Amazon Redshift,34.0,33.0,36.0,Relational,19.03,-1.60,-0.42,https://db-engines.com/en/system/Amazon+Redshift,,"Amazon (based on,PostgreSQL,)",Large scale data warehouse service for use with business intelligence tools,2012.0,,commercial,,yes
Informix,35.0,35.0,33.0,"Relational, Multi-model",18.85,-0.62,-2.64,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS","IBM, HCL Technologies","A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no
Couchbase,36.0,36.0,30.0,"Document, Multi-model",18.46,-0.69,-5.30,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","Couchbase, Inc.","A distributed,document store,with integrated cache, a powerful search engine, in-built operational and analytical capabilities, and an embedded mobile database",2011.0,"Server: 7.2, June 2023; Mobile: 3.1, March 2022; Couchbase Capella (DBaaS), June 2023",Open Source,Business Source License (BSL 1.1); Commercial licenses also available,no
ClickHouse,37.0,37.0,44.0,"Relational, Multi-model",16.2,-0.11,+2.33,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS",Clickhouse Inc.,"A high-performance, column-oriented SQL DBMS for online analytical processing (OLAP) that uses all available system resources to their full potential to process each analytical query as fast as possible. It is available as both an open-source software and a cloud offering.",2016.0,"v24.3.2.23-lts, April 2024",Open Source,Apache 2.0,no
OpenSearch,38.0,40.0,47.0,"Search engine, Multi-model",15.65,+0.93,+4.56,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS",Amazon Web Services,"A distributed, RESTful search and analytics engine forked from,Elasticsearch,and based on,Apache Lucene",2021.0,"2.5.0, January 2023",Open Source,Apache Version 2.0,no
Firebase Realtime Database,39.0,38.0,37.0,Document,15.0,-0.07,-3.22,https://db-engines.com/en/system/Firebase+Realtime+Database,,Google,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",2012.0,,commercial,,yes
Apache Impala,40.0,39.0,38.0,"Relational, Multi-model",14.03,-1.03,-3.56,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store",Apache Software Foundation,Analytic DBMS for Hadoop,2013.0,"4.1.0, June 2022",Open Source,Apache Version 2,no
Apache Flink,41.0,41.0,45.0,Relational,12.4,-1.01,-1.27,https://db-engines.com/en/system/Apache+Flink,,Apache Software Foundation and contributors,"A framework and distributed processing engine for stateful computations over unbounded and bounded data streams, delivering full database capabilities with the addition of Table Store.",,"1.19.0, March 2024",Open Source,,no
Presto,42.0,42.0,43.0,Relational,12.0,-1.05,-2.12,https://db-engines.com/en/system/Presto,,Facebook; Presto Foundation,Distributed SQL Query Engine for Big Data,2013.0,,Open Source,Apache 2.0,no
Vertica,43.0,44.0,39.0,"Relational, Multi-model",11.4,-0.36,-4.58,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS",OpenText,"Cloud or off-cloud analytical database and query engine for structured and semi-structured streaming and batch data. Machine learning platform with built-in algorithms, data preparation capabilities, and model evaluation and management via SQL or Python.",2005.0,"12.0.3, January 2023",commercial,Limited community edition free,no
dBASE,44.0,43.0,41.0,Relational,11.18,-1.07,-3.53,https://db-engines.com/en/system/dBASE,,Asthon Tate,"dBase was one of the first databases with a development environment on PC's. Its latest version dBase V is still sold as dBase classic, which needs a DOS Emulation. The up-to-date product is dBase plus.",1979.0,"dBASE 2019, 2019",commercial,,no
CouchDB,45.0,45.0,42.0,"Document, Multi-model",10.26,-1.47,-4.36,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS",Apache Software Foundation,"A native JSON -,document store,inspired by Lotus Notes, scalable from globally distributed server-clusters down to mobile phones.",2005.0,"3.3.3, December 2023",Open Source,Apache version 2,no
Netezza,46.0,46.0,40.0,Relational,10.18,-1.02,-4.76,https://db-engines.com/en/system/Netezza,,IBM,Data warehouse and analytics appliance part of IBM PureSystems,2000.0,,commercial,,no
Greenplum,47.0,48.0,48.0,"Relational, Multi-model",9.23,+0.03,-1.03,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS",Pivotal Software Inc.,"Analytic Database platform built on,PostgreSQL,. Full name is Pivotal Greenplum Database",2005.0,"7.0.0, September 2023",Open Source,Apache 2.0,no
Google Cloud Firestore,48.0,47.0,46.0,Document,8.96,-1.01,-2.13,https://db-engines.com/en/system/Google+Cloud+Firestore,,Google,"Cloud Firestore is an auto-scaling document database for storing, syncing, and querying data for mobile and web apps. It offers seamless integration with other Firebase and Google Cloud Platform products.",2017.0,,commercial,,yes
Amazon Aurora,49.0,49.0,49.0,"Relational, Multi-model",8.5,-0.54,-0.93,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store",Amazon,MySQL and PostgreSQL compatible cloud service by Amazon,2015.0,,commercial,,yes
H2,50.0,50.0,53.0,"Relational, Multi-model",8.22,+0.08,-0.19,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS",Thomas Mueller,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",2005.0,"2.2.220, July 2023",Open Source,"dual-licence (Mozilla public license, Eclipse public license)",no
Prometheus,51.0,51.0,58.0,Time Series,7.92,-0.08,+0.93,https://db-engines.com/en/system/Prometheus,,,Open-source Time Series DBMS and monitoring system,2015.0,,Open Source,Apache 2.0,no
Realm,52.0,52.0,55.0,Document,7.71,+0.01,-0.57,https://db-engines.com/en/system/Realm,,"Realm, acquired by MongoDB in May 2019","A DBMS built for use on mobile devices that’s a fast, easy to use alternative to,SQLite,and Core Data",2014.0,,Open Source,,no
Kdb,53.0,53.0,52.0,Multi-model,7.7,+0.02,-0.76,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS","Kx Systems, a division of First Derivatives plc","High performance,Time Series DBMS",2000.0,"3.6, May 2018",commercial,free 32-bit version,no
etcd,54.0,55.0,51.0,Key-value,7.64,-0.02,-0.99,https://db-engines.com/en/system/etcd,,,"A distributed reliable,key-value store",,"3.4, August 2019",Open Source,Apache Version 2.0,no
Hazelcast,55.0,54.0,56.0,"Key-value, Multi-model",6.87,-0.79,-0.89,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store",Hazelcast,A widely adopted in-memory data grid,2008.0,"5.3.6, November 2023",Open Source,Apache Version 2; commercial licenses available,no
MarkLogic,56.0,56.0,54.0,Multi-model,6.5,-0.57,-1.84,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic Corp.,Operational and transactional Enterprise NoSQL database,2001.0,"11.0, December 2022",commercial,restricted free version is available,no
Datastax Enterprise,57.0,57.0,60.0,"Wide column, Multi-model",6.31,-0.76,-0.48,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",DataStax,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",2011.0,"6.8, April 2020",commercial,,no
CockroachDB,58.0,60.0,64.0,Relational,6.1,-0.29,-0.43,https://db-engines.com/en/system/CockroachDB,,Cockroach Labs,"CockroachDB is a distributed database architected for modern cloud applications. It is wire compatible with PostgreSQL and backed by a,Key-Value Store,, which is either,RocksDB,or a purpose-built derivative, called Pebble.",2015.0,"23.1.1, May 2023",Open Source,"Apache 2.0, commercial license available",no
Aerospike,59.0,59.0,66.0,Multi-model,6.1,-0.41,-0.30,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS",Aerospike,Flash-optimized In-memory NoSQL Database,2012.0,"7.0, November 2023",Open Source,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,no
Sphinx,60.0,61.0,59.0,Search engine,6.03,-0.03,-0.77,https://db-engines.com/en/system/Sphinx,,Sphinx Technologies Inc.,"Open source search engine for searching in data from different sources, e.g. relational databases",2001.0,"3.5.1, February 2023",Open Source,"GPL version 2, commercial licence available",no
SingleStore,61.0,62.0,62.0,"Relational, Multi-model",5.91,-0.12,-0.69,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",SingleStore Inc.,"MySQL wire-compliant distributed,RDBMS,that combines an in-memory row-oriented and a disc-based column-oriented storage with patented universal storage to handle transactional and analytical workloads in one single table type",2013.0,"8.5, January 2024",commercial,free developer edition available,no
Oracle Essbase,62.0,58.0,50.0,Relational,5.83,-0.85,-3.03,https://db-engines.com/en/system/Oracle+Essbase,,Oracle,Multidimensional database platform for analytic applications,1998.0,"21.1, December 2020",commercial,,no
Algolia,63.0,64.0,57.0,Search engine,5.72,-0.22,-1.69,https://db-engines.com/en/system/Algolia,,,"Fully customizable, hosted Search API",2012.0,,commercial,,yes
Microsoft Azure AI Search,64.0,66.0,61.0,"Search engine, Multi-model",5.71,-0.01,-0.99,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS",Microsoft,Search-as-a-service for web and mobile app development,2015.0,V1,commercial,,yes
Jackrabbit,65.0,68.0,67.0,Content,5.34,-0.25,-1.05,https://db-engines.com/en/system/Jackrabbit,,Apache Software Foundation,,2006.0,,Open Source,,no
Derby,66.0,63.0,63.0,Relational,5.3,-0.66,-1.30,https://db-engines.com/en/system/Derby,,Apache Software Foundation,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",1997.0,"10.17.1.0, November 2023",Open Source,Apache version 2,no
ScyllaDB,67.0,67.0,74.0,"Wide column, Multi-model",5.27,-0.42,-0.58,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store",ScyllaDB,Cassandra and DynamoDB compatible wide column store,2015.0,"ScyllaDB Open Source 5.4.1, January 2024",Open Source,"Open Source (AGPL), commercial license available",no
Ehcache,68.0,69.0,71.0,Key-value,5.23,-0.32,-0.91,https://db-engines.com/en/system/Ehcache,,"Terracotta Inc, owned by Software AG",A widely adopted Java cache with tiered storage options,2009.0,"3.10.0, March 2022",Open Source,Apache Version 2; commercial licenses available,no
Microsoft Azure Data Explorer,69.0,65.0,72.0,"Relational, Multi-model",5.16,-0.66,-0.75,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,cloud service with continuous releases,commercial,,yes
Trino,70.0,73.0,77.0,"Relational, Multi-model",5.1,-0.12,-0.30,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino Software Foundation,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",2012.0,,Open Source,Apache Version 2.0,no
Interbase,71.0,70.0,65.0,Relational,5.04,-0.47,-1.37,https://db-engines.com/en/system/Interbase,,Embarcadero,Light-weight proven RDBMS,1984.0,"InterBase 2020, December 2019",commercial,,no
TiDB,72.0,75.0,115.0,"Relational, Multi-model",4.94,-0.20,+2.06,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store","PingCAP, Inc.","TiDB is an open source distributed SQL database that supports Hybrid Transactional/Analytical Processing (HTAP) workloads. It is MySQL compatible and features horizontal scalability, strong consistency, and high availability.",2016.0,"8.0.0, March 2024",Open Source,Apache 2.0,no
Microsoft Azure Table Storage,73.0,71.0,75.0,Wide column,4.92,-0.43,-0.76,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,,Microsoft,"A,Wide Column Store,for rapid development using massive semi-structured datasets",2012.0,,commercial,,yes
TimescaleDB,74.0,72.0,87.0,"Time Series, Multi-model",4.87,-0.46,+0.50,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",Timescale,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",2017.0,"2.13.0, November 2023",Open Source,Apache 2.0,no
Graphite,75.0,79.0,68.0,Time Series,4.75,-0.09,-1.55,https://db-engines.com/en/system/Graphite,,Chris Davis,Data logging and graphing tool for time series data,2006.0,,Open Source,Apache 2.0,no
DuckDB,76.0,81.0,126.0,Relational,4.68,+0.22,+2.11,https://db-engines.com/en/system/DuckDB,,,"An embeddable, in-process, column-oriented SQL OLAP,RDBMS",2018.0,"0.10, February 2024",Open Source,MIT License,no
Ingres,77.0,74.0,69.0,Relational,4.67,-0.49,-1.61,https://db-engines.com/en/system/Ingres,,Actian Corporation,"Well established,RDBMS",1974.0,"11.2, May 2022",commercial,,no
SAP SQL Anywhere,78.0,77.0,76.0,Relational,4.57,-0.31,-0.82,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,"17, July 2015",commercial,,no
Google Cloud Datastore,79.0,78.0,73.0,Document,4.49,-0.39,-1.41,https://db-engines.com/en/system/Google+Cloud+Datastore,,Google,Automatically scaling NoSQL Database as a Service (DBaaS) on the Google Cloud Platform,2008.0,,commercial,,yes
Riak KV,80.0,76.0,79.0,Key-value,4.44,-0.51,-0.75,https://db-engines.com/en/system/Riak+KV,,"OpenSource, formerly Basho Technologies","Distributed, fault tolerant key-value store",2009.0,"3.2.0, December 2022",Open Source,"Apache version 2, commercial enterprise edition",no
InterSystems IRIS,81.0,91.0,104.0,Multi-model,4.39,+0.57,+1.19,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",InterSystems,"A containerised multi-model DBMS, interoperability and analytics data platform with wide capabilities for vertical and horizontal scalability",2018.0,"2023.3, June 2023",commercial,,no
DolphinDB,82.0,85.0,123.0,"Time Series, Multi-model",4.23,+0.09,+1.62,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS","DolphinDB, Inc","DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.",2018.0,"v2.00.4, January 2022",commercial,free community version available,no
Virtuoso,83.0,82.0,70.0,Multi-model,4.2,-0.19,-2.04,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,"7.2.11, September 2023",Open Source,"GPLv2, extended commercial license available",no
RocksDB,84.0,80.0,89.0,Key-value,4.0,-0.52,-0.30,https://db-engines.com/en/system/RocksDB,,"Facebook, Inc.",Embeddable persistent key-value store optimized for fast storage (flash and RAM),2013.0,"8.11.4, April 2024",Open Source,BSD,no
HyperSQL,85.0,83.0,81.0,Relational,3.9,-0.40,-1.25,https://db-engines.com/en/system/HyperSQL,,,"Multithreaded, transactional,RDBMS,written in Java",2001.0,"2.7.2, June 2023",Open Source,based on BSD license,no
Apache Jena - TDB,86.0,88.0,83.0,RDF,3.85,-0.12,-1.22,https://db-engines.com/en/system/Apache+Jena+-+TDB,,Apache Software Foundation,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",2000.0,"4.9.0, July 2023",Open Source,"Apache License, Version 2.0",no
ArangoDB,87.0,84.0,85.0,Multi-model,3.77,-0.45,-1.03,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB Inc.,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.",2012.0,"3.11.5, November 2023",Open Source,Apache Version 2; Commercial license (Enterprise) available,no
OpenEdge,88.0,94.0,88.0,Relational,3.75,+0.23,-0.58,https://db-engines.com/en/system/OpenEdge,,Progress Software Corporation,Application development environment with integrated database management system,1984.0,"OpenEdge 12.2, March 2020",commercial,,no
Ignite,89.0,86.0,78.0,Multi-model,3.64,-0.40,-1.69,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS",Apache Software Foundation,"Apache Ignite is a memory-centric distributed database, caching, and processing platform for transactional, analytical, and streaming workloads, delivering in-memory speeds at petabyte scale.",2015.0,Apache Ignite 2.6,Open Source,Apache 2.0,no
Accumulo,90.0,92.0,80.0,Wide column,3.61,-0.17,-1.57,https://db-engines.com/en/system/Accumulo,,,,2008.0,"2.1.0 (November 1, 2022), 2022",Open Source,,no
Adabas,91.0,87.0,82.0,Multivalue,3.58,-0.46,-1.52,https://db-engines.com/en/system/Adabas,,Software AG,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,1971.0,,commercial,,no
Google Cloud Bigtable,92.0,90.0,84.0,Multi-model,3.58,-0.29,-1.34,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store",Google,"Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.",2015.0,,commercial,,yes
"UniData,UniVerse",93.0,89.0,86.0,Multivalue,3.47,-0.46,-1.07,https://db-engines.com/en/system/UniData%2CUniVerse,,Rocket Software,MultiValue database and application server with SQL mapping layer and meta database capabilities,1985.0,,commercial,,no
Pinecone,94.0,98.0,177.0,Vector,3.29,-0.05,+1.82,https://db-engines.com/en/system/Pinecone,,"Pinecone Systems, Inc","A managed, cloud-native vector database",2019.0,,commercial,,yes
