DBMS,Rank_Mar-2024,Rank_Feb-2024,Rank_Mar-2023,Database Model,Score_Mar-2024,Score_Feb-2024,Score_Mar-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Microsoft Access,11.0,11.0,10.0,Relational,107.93,-5.24,-24.13,https://db-engines.com/en/system/Microsoft+Access,,Microsoft,Microsoft Access combines a backend RDBMS (JET / ACE Engine) with a GUI frontend for data manipulation and queries.,1992.0,"1902 (16.0.11328.20222), March 2019",commercial,Bundled with Microsoft Office,no
Cassandra,12.0,12.0,12.0,"Wide column, Multi-model",104.59,-4.69,-9.20,https://db-engines.com/en/system/Cassandra,"Wide column store,Vector DBMS",Apache Software Foundation,Wide-column store based on ideas of BigTable and DynamoDB,2008.0,"4.1.3, July 2023",Open Source,Apache version 2,no
MariaDB,13.0,13.0,13.0,"Relational, Multi-model",95.03,-2.20,-1.81,https://db-engines.com/en/system/MariaDB,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS","MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)","MySQL,application compatible open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities. MariaDB ColumnStore provides a column-oriented storage engine and MariaDB Xpand supports distributed SQL.",2009.0,"11.3.2, February 2024",Open Source,"GPL version 2, commercial enterprise subscription available",no
Splunk,14.0,14.0,14.0,Search engine,89.68,-1.97,+1.71,https://db-engines.com/en/system/Splunk,,Splunk Inc.,Analytics Platform for Big Data,2003.0,,commercial,Limited free edition and free developer edition available,no
Microsoft Azure SQL Database,15.0,16.0,16.0,"Relational, Multi-model",78.51,-1.06,+1.06,https://db-engines.com/en/system/Microsoft+Azure+SQL+Database,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",Microsoft,"Database as a Service offering with high compatibility to,Microsoft SQL Server",2010.0,V12,commercial,,yes
Amazon DynamoDB,16.0,15.0,15.0,Multi-model,77.72,-5.18,-3.05,https://db-engines.com/en/system/Amazon+DynamoDB,"Document store,Key-value store",Amazon,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",2012.0,,commercial,free tier for a limited amount of database operations,yes
Databricks,17.0,17.0,19.0,Multi-model,74.34,-2.57,+13.48,https://db-engines.com/en/system/Databricks,"Document store,Relational DBMS",Databricks,The Databricks Lakehouse Platform combines elements of data lakes and data warehouses to provide a unified view onto structured and unstructured data. It is based on Apache Spark.,2013.0,,commercial,,yes
Hive,18.0,18.0,17.0,Relational,64.82,-0.99,-6.09,https://db-engines.com/en/system/Hive,,Apache Software Foundation,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no
Google BigQuery,19.0,19.0,21.0,Relational,62.67,-0.96,+9.23,https://db-engines.com/en/system/Google+BigQuery,,Google,Large scale data warehouse service with append-only tables,2010.0,,commercial,,yes
Teradata,20.0,20.0,18.0,"Relational, Multi-model",48.95,-2.29,-14.79,https://db-engines.com/en/system/Teradata,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS,Time Series DBMS",Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no
FileMaker,21.0,21.0,22.0,Relational,48.81,-1.67,-2.33,https://db-engines.com/en/system/FileMaker,,Claris,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",1983.0,"19.4.1, November 2021",commercial,,no
SAP HANA,22.0,23.0,23.0,"Relational, Multi-model",45.49,+0.27,-5.36,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS",SAP,"In-memory, column based data store. Available as appliance or cloud service",2010.0,"2.0 SPS07 (April 4, 2023), April 2023",commercial,,no
Neo4j,23.0,22.0,20.0,Graph,44.36,-2.25,-9.15,https://db-engines.com/en/system/Neo4j,,"Neo4j, Inc.","Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",2007.0,"5.18.1, March 2024",Open Source,"GPL version3, commercial licenses available",no
Solr,24.0,24.0,24.0,"Search engine, Multi-model",43.91,-0.69,-3.36,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS",Apache Software Foundation,"A widely used distributed, scalable,search engine,based on,Apache Lucene",2006.0,"9.5.0, February 2024",Open Source,Apache Version 2,no
SAP Adaptive Server,25.0,25.0,25.0,"Relational, Multi-model",37.49,-1.85,-5.46,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS","SAP, Sybase","The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",1987.0,16.0,commercial,,no
HBase,26.0,26.0,26.0,Wide column,31.6,-2.35,-6.02,https://db-engines.com/en/system/HBase,,Apache Software Foundation,Wide-column store based on Apache Hadoop and on concepts of BigTable,2008.0,"2.3.4, January 2021",Open Source,Apache version 2,no
Microsoft Azure Cosmos DB,27.0,27.0,27.0,Multi-model,30.39,-1.60,-5.71,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS",Microsoft,"Globally distributed, horizontally scalable, multi-model database service",2014.0,,commercial,,yes
InfluxDB,28.0,28.0,29.0,"Time Series, Multi-model",26.89,-1.59,-2.26,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS",,"DBMS for storing time series, events and metrics",2013.0,"2.7.5, January 2024",Open Source,MIT-License; commercial enterprise version available,no
PostGIS,29.0,29.0,28.0,"Spatial, Multi-model",24.72,-1.16,-5.50,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS",,"Spatial extension of,PostgreSQL",2005.0,"3.4.2, February 2024",Open Source,GPL v2.0,no
Microsoft Azure Synapse Analytics,30.0,30.0,33.0,Relational,23.95,-1.06,+2.01,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,,Microsoft,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",2016.0,,commercial,,yes
Firebird,31.0,31.0,30.0,Relational,22.45,-2.48,-0.99,https://db-engines.com/en/system/Firebird,,Firebird Foundation,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",2000.0,"5.0.0, January 2024",Open Source,Initial Developer's Public License,no
Memcached,32.0,35.0,32.0,Key-value,20.81,+0.39,-1.80,https://db-engines.com/en/system/Memcached,,Danga Interactive,"In-memory key-value store, originally intended for caching",2003.0,"1.6.25, March 2024",Open Source,BSD license,no
Amazon Redshift,33.0,32.0,35.0,Relational,20.63,-2.09,+0.17,https://db-engines.com/en/system/Amazon+Redshift,,"Amazon (based on,PostgreSQL,)",Large scale data warehouse service for use with business intelligence tools,2012.0,,commercial,,yes
Spark SQL,34.0,36.0,36.0,Relational,19.56,-0.22,-0.58,https://db-engines.com/en/system/Spark+SQL,,Apache Software Foundation,Spark SQL is a component on top of 'Spark Core' for structured data processing,2014.0,"3.5.0 ( 2.13), September 2023",Open Source,Apache 2.0,no
Informix,35.0,33.0,34.0,"Relational, Multi-model",19.46,-1.34,-2.29,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS","IBM, HCL Technologies","A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no
Couchbase,36.0,34.0,31.0,"Document, Multi-model",19.15,-1.33,-4.21,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS","Couchbase, Inc.","A distributed,document store,with integrated cache, a powerful search engine, in-built operational and analytical capabilities, and an embedded mobile database",2011.0,"Server: 7.2, June 2023; Mobile: 3.1, March 2022; Couchbase Capella (DBaaS), June 2023",Open Source,Business Source License (BSL 1.1); Commercial licenses also available,no
ClickHouse,37.0,37.0,43.0,"Relational, Multi-model",16.31,-0.37,+2.07,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS",Clickhouse Inc.,"A high-performance, column-oriented SQL DBMS for online analytical processing (OLAP) that uses all available system resources to their full potential to process each analytical query as fast as possible. It is available as both an open-source software and a cloud offering.",2016.0,"v23.12.1.1368-stable, December 2023",Open Source,Apache 2.0,no
Firebase Realtime Database,38.0,38.0,38.0,Document,15.07,-1.27,-3.71,https://db-engines.com/en/system/Firebase+Realtime+Database,,Google,"Cloud-hosted realtime,document store,. iOS, Android, and JavaScript clients share one Realtime Database instance and automatically receive updates with the newest data.",2012.0,,commercial,,yes
Apache Impala,39.0,39.0,37.0,"Relational, Multi-model",15.06,-0.87,-3.90,https://db-engines.com/en/system/Apache+Impala,"Relational DBMS,Document store",Apache Software Foundation,Analytic DBMS for Hadoop,2013.0,"4.1.0, June 2022",Open Source,Apache Version 2,no
OpenSearch,40.0,40.0,46.0,"Search engine, Multi-model",14.72,-0.12,+3.60,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS",Amazon Web Services,"A distributed, RESTful search and analytics engine forked from,Elasticsearch,and based on,Apache Lucene",2021.0,"2.5.0, January 2023",Open Source,Apache Version 2.0,no
Apache Flink,41.0,41.0,,Relational,13.41,-1.09,,https://db-engines.com/en/system/Apache+Flink,,Apache Software Foundation and contributors,"A framework and distributed processing engine for stateful computations over unbounded and bounded data streams, delivering full database capabilities with the addition of Table Store.",,"1.19.0, March 2024",Open Source,,no
Presto,42.0,42.0,44.0,Relational,13.05,-1.08,-0.83,https://db-engines.com/en/system/Presto,,Facebook; Presto Foundation,Distributed SQL Query Engine for Big Data,2013.0,,Open Source,Apache 2.0,no
dBASE,43.0,43.0,41.0,Relational,12.24,-1.57,-2.79,https://db-engines.com/en/system/dBASE,,Asthon Tate,"dBase was one of the first databases with a development environment on PC's. Its latest version dBase V is still sold as dBase classic, which needs a DOS Emulation. The up-to-date product is dBase plus.",1979.0,"dBASE 2019, 2019",commercial,,no
Vertica,44.0,45.0,39.0,"Relational, Multi-model",11.76,-0.71,-5.22,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS",OpenText,"Cloud or off-cloud analytical database and query engine for structured and semi-structured streaming and batch data. Machine learning platform with built-in algorithms, data preparation capabilities, and model evaluation and management via SQL or Python.",2005.0,"12.0.3, January 2023",commercial,Limited community edition free,no
CouchDB,45.0,44.0,42.0,"Document, Multi-model",11.73,-0.95,-2.73,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS",Apache Software Foundation,"A native JSON -,document store,inspired by Lotus Notes, scalable from globally distributed server-clusters down to mobile phones.",2005.0,"3.3.3, December 2023",Open Source,Apache version 2,no
Netezza,46.0,46.0,40.0,Relational,11.2,-1.08,-5.11,https://db-engines.com/en/system/Netezza,,IBM,Data warehouse and analytics appliance part of IBM PureSystems,2000.0,,commercial,,no
Google Cloud Firestore,47.0,47.0,45.0,Document,9.97,-0.90,-1.39,https://db-engines.com/en/system/Google+Cloud+Firestore,,Google,"Cloud Firestore is an auto-scaling document database for storing, syncing, and querying data for mobile and web apps. It offers seamless integration with other Firebase and Google Cloud Platform products.",2017.0,,commercial,,yes
Greenplum,48.0,49.0,47.0,"Relational, Multi-model",9.2,-0.79,-1.66,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS",Pivotal Software Inc.,"Analytic Database platform built on,PostgreSQL,. Full name is Pivotal Greenplum Database",2005.0,"7.0.0, September 2023",Open Source,Apache 2.0,no
Amazon Aurora,49.0,48.0,48.0,"Relational, Multi-model",9.05,-0.99,-1.03,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store",Amazon,MySQL and PostgreSQL compatible cloud service by Amazon,2015.0,,commercial,,yes
H2,50.0,51.0,51.0,"Relational, Multi-model",8.14,-0.36,-0.58,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS",Thomas Mueller,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",2005.0,"2.2.220, July 2023",Open Source,"dual-licence (Mozilla public license, Eclipse public license)",no
Prometheus,51.0,50.0,57.0,Time Series,8.0,-0.61,+0.67,https://db-engines.com/en/system/Prometheus,,,Open-source Time Series DBMS and monitoring system,2015.0,,Open Source,Apache 2.0,no
Realm,52.0,55.0,54.0,Document,7.7,-0.26,-0.82,https://db-engines.com/en/system/Realm,,"Realm, acquired by MongoDB in May 2019","A DBMS built for use on mobile devices that’s a fast, easy to use alternative to,SQLite,and Core Data",2014.0,,Open Source,,no
Kdb,53.0,52.0,55.0,Multi-model,7.69,-0.58,-0.34,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS","Kx Systems, a division of First Derivatives plc","High performance,Time Series DBMS",2000.0,"3.6, May 2018",commercial,free 32-bit version,no
Hazelcast,54.0,53.0,52.0,"Key-value, Multi-model",7.66,-0.52,-0.97,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store",Hazelcast,A widely adopted in-memory data grid,2008.0,"5.3.6, November 2023",Open Source,Apache Version 2; commercial licenses available,no
etcd,55.0,54.0,53.0,Key-value,7.66,-0.48,-0.94,https://db-engines.com/en/system/etcd,,,"A distributed reliable,key-value store",,"3.4, August 2019",Open Source,Apache Version 2.0,no
MarkLogic,56.0,58.0,49.0,Multi-model,7.08,-0.42,-1.79,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic Corp.,Operational and transactional Enterprise NoSQL database,2001.0,"11.0, December 2022",commercial,restricted free version is available,no
Datastax Enterprise,57.0,56.0,56.0,"Wide column, Multi-model",7.07,-0.58,-0.26,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",DataStax,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",2011.0,"6.8, April 2020",commercial,,no
Oracle Essbase,58.0,57.0,50.0,Relational,6.67,-0.89,-2.12,https://db-engines.com/en/system/Oracle+Essbase,,Oracle,Multidimensional database platform for analytic applications,1998.0,"21.1, December 2020",commercial,,no
Aerospike,59.0,59.0,65.0,Multi-model,6.51,-0.58,-0.02,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS",Aerospike,Flash-optimized In-memory NoSQL Database,2012.0,"7.0, November 2023",Open Source,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,no
CockroachDB,60.0,60.0,59.0,Relational,6.39,-0.43,-0.69,https://db-engines.com/en/system/CockroachDB,,Cockroach Labs,"CockroachDB is a distributed database architected for modern cloud applications. It is wire compatible with PostgreSQL and backed by a,Key-Value Store,, which is either,RocksDB,or a purpose-built derivative, called Pebble.",2015.0,"23.1.1, May 2023",Open Source,"Apache 2.0, commercial license available",no
Sphinx,61.0,66.0,61.0,Search engine,6.06,-0.03,-0.62,https://db-engines.com/en/system/Sphinx,,Sphinx Technologies Inc.,"Open source search engine for searching in data from different sources, e.g. relational databases",2001.0,"3.5.1, February 2023",Open Source,"GPL version 2, commercial licence available",no
SingleStore,62.0,65.0,64.0,"Relational, Multi-model",6.03,-0.08,-0.51,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",SingleStore Inc.,"MySQL wire-compliant distributed,RDBMS,that combines an in-memory row-oriented and a disc-based column-oriented storage with patented universal storage to handle transactional and analytical workloads in one single table type",2013.0,"8.5, January 2024",commercial,free developer edition available,no
Derby,63.0,61.0,71.0,Relational,5.96,-0.60,-0.11,https://db-engines.com/en/system/Derby,,Apache Software Foundation,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",1997.0,"10.17.1.0, November 2023",Open Source,Apache version 2,no
Algolia,64.0,63.0,58.0,Search engine,5.94,-0.46,-1.20,https://db-engines.com/en/system/Algolia,,,"Fully customizable, hosted Search API",2012.0,,commercial,,yes
Microsoft Azure Data Explorer,65.0,62.0,66.0,"Relational, Multi-model",5.82,-0.65,-0.69,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,cloud service with continuous releases,commercial,,yes
Microsoft Azure AI Search,66.0,67.0,60.0,"Search engine, Multi-model",5.72,-0.28,-1.18,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS",Microsoft,Search-as-a-service for web and mobile app development,2015.0,V1,commercial,,yes
ScyllaDB,67.0,64.0,74.0,"Wide column, Multi-model",5.69,-0.47,-0.07,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store",ScyllaDB,Cassandra and DynamoDB compatible wide column store,2015.0,"ScyllaDB Open Source 5.4.1, January 2024",Open Source,"Open Source (AGPL), commercial license available",no
Jackrabbit,68.0,69.0,70.0,Content,5.59,-0.36,-0.61,https://db-engines.com/en/system/Jackrabbit,,Apache Software Foundation,,2006.0,,Open Source,,no
Ehcache,69.0,70.0,72.0,Key-value,5.55,-0.34,-0.47,https://db-engines.com/en/system/Ehcache,,"Terracotta Inc, owned by Software AG",A widely adopted Java cache with tiered storage options,2009.0,"3.10.0, March 2022",Open Source,Apache Version 2; commercial licenses available,no
Interbase,70.0,68.0,69.0,Relational,5.51,-0.48,-0.76,https://db-engines.com/en/system/Interbase,,Embarcadero,Light-weight proven RDBMS,1984.0,"InterBase 2020, December 2019",commercial,,no
Microsoft Azure Table Storage,71.0,72.0,75.0,Wide column,5.35,-0.30,-0.39,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,,Microsoft,"A,Wide Column Store,for rapid development using massive semi-structured datasets",2012.0,,commercial,,yes
TimescaleDB,72.0,73.0,88.0,"Time Series, Multi-model",5.33,-0.29,+0.81,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",Timescale,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",2017.0,"2.13.0, November 2023",Open Source,Apache 2.0,no
Trino,73.0,78.0,81.0,"Relational, Multi-model",5.21,+0.08,+0.01,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino Software Foundation,"Fast distributed SQL query engine for big data analytics. Forked from,Presto,and originally named PrestoSQL",2012.0,,Open Source,Apache Version 2.0,no
Ingres,74.0,71.0,67.0,Relational,5.15,-0.53,-1.29,https://db-engines.com/en/system/Ingres,,Actian Corporation,"Well established,RDBMS",1974.0,"11.2, May 2022",commercial,,no
TiDB,75.0,80.0,113.0,"Relational, Multi-model",5.14,+0.28,+2.22,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store","PingCAP, Inc.","TiDB is an open source distributed SQL database that supports Hybrid Transactional/Analytical Processing (HTAP) workloads. It is MySQL compatible and features horizontal scalability, strong consistency, and high availability.",2016.0,"7.6.0, January 2024",Open Source,Apache 2.0,no
Riak KV,76.0,77.0,79.0,Key-value,4.95,-0.28,-0.33,https://db-engines.com/en/system/Riak+KV,,"OpenSource, formerly Basho Technologies","Distributed, fault tolerant key-value store",2009.0,"3.2.0, December 2022",Open Source,"Apache version 2, commercial enterprise edition",no
SAP SQL Anywhere,77.0,74.0,73.0,Relational,4.89,-0.45,-0.91,https://db-engines.com/en/system/SAP+SQL+Anywhere,,SAP,"RDBMS database and synchronization technologies for server, desktop, remote office, and mobile environments",1992.0,"17, July 2015",commercial,,no
Google Cloud Datastore,78.0,76.0,62.0,Document,4.87,-0.41,-1.74,https://db-engines.com/en/system/Google+Cloud+Datastore,,Google,Automatically scaling NoSQL Database as a Service (DBaaS) on the Google Cloud Platform,2008.0,,commercial,,yes
Graphite,79.0,79.0,63.0,Time Series,4.84,-0.24,-1.74,https://db-engines.com/en/system/Graphite,,Chris Davis,Data logging and graphing tool for time series data,2006.0,,Open Source,Apache 2.0,no
RocksDB,80.0,83.0,87.0,Key-value,4.52,-0.01,-0.06,https://db-engines.com/en/system/RocksDB,,"Facebook, Inc.",Embeddable persistent key-value store optimized for fast storage (flash and RAM),2013.0,"9.0.0, February 2024",Open Source,BSD,no
DuckDB,81.0,82.0,134.0,Relational,4.46,-0.07,+2.32,https://db-engines.com/en/system/DuckDB,,,"An embeddable, in-process, column-oriented SQL OLAP,RDBMS",2018.0,"0.10, February 2024",Open Source,MIT License,no
Virtuoso,82.0,75.0,68.0,Multi-model,4.39,-0.92,-2.00,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS",OpenLink Software,Virtuoso is a multi-model hybrid-RDBMS that supports management of data represented as relational tables and/or property graphs,1998.0,"7.2.11, September 2023",Open Source,"GPLv2, extended commercial license available",no
HyperSQL,83.0,81.0,82.0,Relational,4.3,-0.40,-0.89,https://db-engines.com/en/system/HyperSQL,,,"Multithreaded, transactional,RDBMS,written in Java",2001.0,"2.7.2, June 2023",Open Source,based on BSD license,no
ArangoDB,84.0,85.0,84.0,Multi-model,4.22,-0.12,-0.82,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB Inc.,"Native multi-model DBMS for graph, document, key/value and search. All in one engine and accessible with one query language.",2012.0,"3.11.5, November 2023",Open Source,Apache Version 2; Commercial license (Enterprise) available,no
DolphinDB,85.0,91.0,120.0,"Time Series, Multi-model",4.14,+0.07,+1.45,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS","DolphinDB, Inc","DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.",2018.0,"v2.00.4, January 2022",commercial,free community version available,no
Ignite,86.0,84.0,78.0,Multi-model,4.04,-0.37,-1.25,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS",Apache Software Foundation,"Apache Ignite is a memory-centric distributed database, caching, and processing platform for transactional, analytical, and streaming workloads, delivering in-memory speeds at petabyte scale.",2015.0,Apache Ignite 2.6,Open Source,Apache 2.0,no
Adabas,87.0,86.0,83.0,Multivalue,4.04,-0.30,-1.11,https://db-engines.com/en/system/Adabas,,Software AG,OLTP - DBMS for mainframes and Linux/Unix/Windows environments,1971.0,,commercial,,no
Apache Jena - TDB,88.0,88.0,80.0,RDF,3.97,-0.27,-1.30,https://db-engines.com/en/system/Apache+Jena+-+TDB,,Apache Software Foundation,"A RDF storage and query DBMS, shipped as an optional-use component of the Apache Jena framework",2000.0,"4.9.0, July 2023",Open Source,"Apache License, Version 2.0",no
"UniData,UniVerse",89.0,87.0,85.0,Multivalue,3.93,-0.35,-0.72,https://db-engines.com/en/system/UniData%2CUniVerse,,Rocket Software,MultiValue database and application server with SQL mapping layer and meta database capabilities,1985.0,,commercial,,no
Google Cloud Bigtable,90.0,90.0,76.0,Multi-model,3.86,-0.30,-1.58,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store",Google,"Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.",2015.0,,commercial,,yes
InterSystems IRIS,91.0,92.0,105.0,Multi-model,3.82,-0.16,+0.76,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS",InterSystems,"A containerised multi-model DBMS, interoperability and analytics data platform with wide capabilities for vertical and horizontal scalability",2018.0,"2023.3, June 2023",commercial,,no
Accumulo,92.0,89.0,77.0,Wide column,3.78,-0.43,-1.61,https://db-engines.com/en/system/Accumulo,,,,2008.0,"2.1.0 (November 1, 2022), 2022",Open Source,,no
SAP IQ,93.0,93.0,90.0,Relational,3.58,-0.38,-0.71,https://db-engines.com/en/system/SAP+IQ,,"SAP, formerly Sybase",Columnar RDBMS optimized for Big Data analytics,1994.0,"16.1 SPS04, April 2019",commercial,,no
OpenEdge,94.0,97.0,86.0,Relational,3.53,-0.20,-1.07,https://db-engines.com/en/system/OpenEdge,,Progress Software Corporation,Application development environment with integrated database management system,1984.0,"OpenEdge 12.2, March 2020",commercial,,no
