Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,License_info,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
Snowflake,Cloud-based data warehousing service for structured and semi-structured data,Relational DBMS,,"Score,114.13,Rank,#11,Overall,#8,Relational DBMS",www.snowflake.com,docs.snowflake.net/manuals/index.html,Snowflake Computing Inc.,2014.0,,commercial,,yes,,,hosted,yes,yes,yes,,yes,"CLI Client,JDBC,ODBC","JavaScript (Node.js),Python",user defined functions,no,yes,yes,no,Immediate Consistency,yes,ACID,yes,yes,no,"Users with fine-grained authorization concept, user roles and pluggable authentication"
Cassandra,Wide-column store based on ideas of BigTable and DynamoDB,Wide column store,,"Score,108.55,Rank,#12,Overall,#1,Wide column stores",cassandra.apache.org,cassandra.apache.org/doc/latest,Apache Software Foundation,2008.0,"4.1.2, May 2023",Open Source,Apache version 2,no,"Astra DB,: Multi-cloud DBaaS built on Apache Cassandra.,Aiven for Apache Cassandra,: Fully managed, open source NoSQL database specifically designed to be highly available, performant, and scalable.",Java,"BSD,Linux,OS X,Windows",schema-free,yes,no,restricted,"SQL-like SELECT, DML and DDL statements (CQL)","Proprietary protocol,Thrift","C#,C++,Clojure,Erlang,Go,Haskell,Java,JavaScript,Perl,PHP,Python,Ruby,Scala",no,yes,Sharding,selectable replication factor,yes,"Eventual Consistency,Immediate Consistency",no,no,yes,yes,no,Access rights for users can be defined per object
MariaDB,"MySQL,application compatible open source RDBMS, enhanced with high availability, security, interoperability and performance capabilities. MariaDB ColumnStore provides a column-oriented storage engine and MariaDB Xpand supports distributed SQL.",Relational DBMS,"Document store,Graph DBMS,Spatial DBMS","Score,97.31,Rank,#13,Overall,#9,Relational DBMS","mariadb.com,mariadb.org",mariadb.com/kb/en/library,"MariaDB Corporation Ab (MariaDB Enterprise),,MariaDB Foundation (community MariaDB Server)",2009.0,"10.11.3, May 2023",Open Source,"GPL version 2, commercial enterprise subscription available",no,"SkySQL (The Ultimate MariaDB Cloud),: The first and only DBaaS to bring the full power of MariaDB Platform to the cloud, combining powerful enterprise features and world-class support with unrivaled ease of use and groundbreaking innovation.",C and C++,"FreeBSD,Linux,Solaris,Windows",yes,yes,yes,yes,yes,"ADO.NET,JDBC,ODBC,Proprietary native API","Ada,C,C#,C++,D,Eiffel,Erlang,Go,Haskell,Java,JavaScript (Node.js),Objective-C,OCaml,Perl,PHP,Python,Ruby,Scheme,Tcl",yes,yes,several options for horizontal partitioning and Sharding,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Splunk,Analytics Platform for Big Data,Search engine,,"Score,89.45,Rank,#14,Overall,#2,Search engines",www.splunk.com,docs.splunk.com/Documentation/Splunk,Splunk Inc.,2003.0,,commercial,Limited free edition and free developer edition available,no,,,"Linux,OS X,Solaris,Windows",yes,yes,yes,yes,no,HTTP REST,"C#,Java,JavaScript,PHP,Python,Ruby",yes,yes,Sharding,Multi-source replication,yes,Eventual Consistency,no,no,yes,yes,no,Access rights for users and roles
Amazon DynamoDB,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud","Document store,Key-value store",,"Score,79.90,Rank,#15,Overall,#2,Document stores,#2,Key-value stores",aws.amazon.com/dynamodb,docs.aws.amazon.com/dynamodb,Amazon,2012.0,,commercial,free tier for a limited amount of database operations,yes,,,hosted,schema-free,yes,,yes,no,RESTful HTTP API,".Net,ColdFusion,Erlang,Groovy,Java,JavaScript,Perl,PHP,Python,Ruby",no,yes,Sharding,yes,no,"Eventual Consistency,Immediate Consistency",no,ACID,yes,yes,,Access rights for users and roles can be defined via the AWS Identity and Access Management (IAM)
Microsoft Azure SQL Database,"Database as a Service offering with high compatibility to,Microsoft SQL Server",Relational DBMS,"Document store,Graph DBMS,Spatial DBMS","Score,78.96,Rank,#16,Overall,#10,Relational DBMS",azure.microsoft.com/en-us/services/sql-database,docs.microsoft.com/en-us/azure/azure-sql,Microsoft,2010.0,V12,commercial,,yes,,C++,hosted,yes,yes,yes,yes,yes,"ADO.NET,JDBC,ODBC",".Net,C#,Java,JavaScript (Node.js),PHP,Python,Ruby",Transact SQL,yes,,"yes, with always 3 replicas available",no,Immediate Consistency,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
Hive,"data warehouse software for querying and managing large distributed datasets, built on Hadoop",Relational DBMS,,"Score,75.52,Rank,#17,Overall,#11,Relational DBMS",hive.apache.org,cwiki.apache.org/confluence/display/Hive/Home,Apache Software Foundation,2012.0,"3.1.3, April 2022",Open Source,Apache Version 2,no,,Java,All OS with a Java VM,yes,yes,,yes,SQL-like DML and DDL statements,"JDBC,ODBC,Thrift","C++,Java,PHP,Python",yes,no,Sharding,selectable replication factor,yes,Eventual Consistency,no,no,yes,yes,,"Access rights for users, groups and roles"
Databricks,The Databricks Lakehouse Platform combines elements of data lakes and data warehouses to provide a unified view onto structured and unstructured data. It is based on Apache Spark.,"Document store,Relational DBMS",,"Score,65.82,Rank,#18,Overall,#3,Document stores,#12,Relational DBMS",databricks.com,databricks.com/documentation,Databricks,2013.0,,Open Source,,yes,,,hosted,"Flexible Schema (defined schema, partial schema, schema free)",,yes,yes,with Databricks SQL,"JDBC,ODBC,RESTful HTTP API","Python,R,Scala",user defined functions and aggregates,,,yes,,Immediate Consistency,,ACID,yes,yes,no,
Teradata,A hybrid cloud data analytics software platform (Teradata Vantage),Relational DBMS,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS","Score,62.64,Rank,#19,Overall,#13,Relational DBMS",www.teradata.com,docs.teradata.com,Teradata,1984.0,"Teradata Vantage 1.0 MU2, January 2019",commercial,,no,,,"hosted,Linux",yes,yes,yes,yes,yes,".NET Client API,HTTP REST,JDBC,JMS Adapter,ODBC,OLE DB","C,C++,Cobol,Java (JDBC-ODBC),Perl,PL/1,Python,R,Ruby",yes,yes,Sharding,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Google BigQuery,Large scale data warehouse service with append-only tables,Relational DBMS,,"Score,54.64,Rank,#20,Overall,#14,Relational DBMS",cloud.google.com/bigquery,cloud.google.com/bigquery/docs,Google,2010.0,,commercial,,yes,,,hosted,yes,yes,no,no,yes,RESTful HTTP/JSON API,".Net,Java,JavaScript,Objective-C,PHP,Python,Ruby",user defined functions,no,none,,no,Immediate Consistency,no,no,yes,yes,no,"Access privileges (owner, writer, reader) on dataset, table or view level"
FileMaker,"FileMaker is a cross-platform,RDBMS,that includes a GUI frontend.",Relational DBMS,,"Score,54.38,Rank,#21,Overall,#15,Relational DBMS",www.claris.com/filemaker,www.claris.com/resources/documentation,FileMaker,1983.0,"19.4.1, November 2021",commercial,,no,,,"iOS,Linux,OS X,Windows",yes,yes,yes,yes,yes,"Filemaker WebDirect,JDBC,ODBC",PHP,yes,yes,none,"Source-replica replication, warm standby",no,,yes,no,yes,yes,,simple rights management via user accounts and connection to external directory services
Neo4j,"Scalable, ACID-compliant graph database designed with a high-performance distributed cluster architecture, available in self-hosted and cloud offerings",Graph DBMS,,"Score,52.77,Rank,#22,Overall,#1,Graph DBMS",neo4j.com,neo4j.com/docs,"Neo4j, Inc.",2007.0,"5.8, May 2023",Open Source,"GPL version3, commercial licenses available",no,"Neo4j Aura,: Neo4j’s fully managed cloud service: The zero-admin, always-on graph database for cloud developers.","Java, Scala","Linux,OS X,Solaris,Windows",schema-free and schema-optional,yes,,yes,no,"Bolt protocol,Cypher query language,Java API,Neo4j-OGM,RESTful HTTP API,Spring Data Neo4j,TinkerPop 3",".Net,Clojure,Elixir,Go,Groovy,Haskell,Java,JavaScript,Perl,PHP,Python,Ruby,Scala",yes,yes,yes using Neo4j Fabric,Causal Clustering using Raft protocol,no,"Causal and Eventual Consistency configurable in Causal Cluster setup,Immediate Consistency in stand-alone mode",yes,ACID,yes,yes,,"Users, roles and permissions. Pluggable authentication with supported standards (LDAP, Active Directory, Kerberos)"
SAP HANA,"In-memory, column based data store. Available as appliance or cloud service",Relational DBMS,"Document store,Graph DBMS,Spatial DBMS","Score,51.42,Rank,#23,Overall,#16,Relational DBMS",www.sap.com/products/hana.html,help.sap.com/hana,SAP,2010.0,"2.0 SPS06 (March 4, 2022), March 2022",commercial,,no,,,Appliance or cloud-service,yes,yes,no,yes,yes,"JDBC,ODBC",,"SQLScript, R",yes,yes,yes,no,Immediate Consistency,yes,ACID,yes,yes,yes,yes
Solr,"A widely used distributed, scalable,search engine,based on,Apache Lucene",Search engine,Spatial DBMS,"Score,49.56,Rank,#24,Overall,#3,Search engines",lucene.apache.org/solr,lucene.apache.org/solr/resources.html,Apache Software Foundation,2006.0,"9.2.1, May 2023",Open Source,Apache Version 2,no,,Java,All OS with a Java VM,yes,yes,yes,yes,Solr Parallel SQL Interface,"Java API,RESTful HTTP/JSON API",".Net,Erlang,Java,JavaScript,any language that supports sockets and either XML or JSON,Perl,PHP,Python,Ruby,Scala",Java plugins,yes,Sharding,yes,"spark-solr:,github.com/lucidworks/spark-solr,and streaming expressions to reduce",Eventual Consistency,no,optimistic locking,yes,yes,yes,yes
SAP Adaptive Server,"The SAP (Sybase) Adaptive Server Enterprise (ASE) is an enterprise-class,RDBMS",Relational DBMS,Spatial DBMS,"Score,43.76,Rank,#25,Overall,#17,Relational DBMS",www.sap.com/products/sybase-ase.html,help.sap.com/viewer/product/SAP_ASE,"SAP, Sybase",1987.0,16.0,commercial,,no,,C and C++,"AIX,HP-UX,Linux,Solaris,Unix,Windows",yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC,OLE DB,Tabular Data Stream (TDS)","C,C++,Cobol,Java,Java,Perl,PHP,Python",Java and Transact-SQL,yes,horizontal partitioning,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
HBase,Wide-column store based on Apache Hadoop and on concepts of BigTable,Wide column store,,"Score,37.24,Rank,#26,Overall,#2,Wide column stores",hbase.apache.org,hbase.apache.org,Apache Software Foundation,2008.0,"2.3.4, January 2021",Open Source,Apache version 2,no,,Java,"Linux,Unix,Windows","schema-free, schema definition possible","options to bring your own types, AVRO",no,no,no,"Java API,RESTful HTTP API,Thrift","C,C#,C++,Groovy,Java,PHP,Python,Scala",yes,yes,Sharding,"Multi-source replication,Source-replica replication",yes,Immediate Consistency or Eventual Consistency,no,Single row ACID (across millions of columns),yes,yes,yes,"Access Control Lists (ACL) for RBAC, integration with Apache Ranger for RBAC & ABAC"
Microsoft Azure Cosmos DB,"Globally distributed, horizontally scalable, multi-model database service","Document store,Graph DBMS,Key-value store,Wide column store",Spatial DBMS,"Score,36.57,Rank,#27,Overall,#4,Document stores,#2,Graph DBMS,#3,Key-value stores,#3,Wide column stores",azure.microsoft.com/services/cosmos-db,docs.microsoft.com/azure/cosmos-db,Microsoft,2014.0,,commercial,,yes,,,hosted,schema-free,yes,,yes,SQL-like query language,"DocumentDB API,Graph API (Gremlin),MongoDB API,RESTful HTTP API,Table API",".Net,C#,Java,JavaScript,JavaScript (Node.js),MongoDB client drivers written for various programming languages,Python",JavaScript,JavaScript,Sharding,yes,with Hadoop integration,"Bounded Staleness,Consistent Prefix,Eventual Consistency,Immediate Consistency,Session Consistency",no,Multi-item ACID transactions with snapshot isolation within a partition,yes,yes,,Access rights can be defined down to the item level
InfluxDB,"DBMS for storing time series, events and metrics",Time Series DBMS,Spatial DBMS,"Score,31.26,Rank,#28,Overall,#1,Time Series DBMS",www.influxdata.com/products/influxdb-overview,docs.influxdata.com/influxdb,,2013.0,"2.5.1, November 2022",Open Source,MIT-License; commercial enterprise version available,no,,Go,"Linux,OS X",schema-free,Numeric data and Strings,no,no,SQL-like query language,"HTTP API,JSON over UDP",".Net,Clojure,Erlang,Go,Haskell,Java,JavaScript,JavaScript (Node.js),Lisp,Perl,PHP,Python,R,Ruby,Rust,Scala",no,no,Sharding,selectable replication factor,no,,no,no,yes,yes,yes,simple rights management via user accounts
PostGIS,"Spatial extension of,PostgreSQL",Spatial DBMS,Relational DBMS,"Score,31.03,Rank,#29,Overall,#1,Spatial DBMS",postgis.net,postgis.net/documentation,,2005.0,"3.3.3, May 2023",Open Source,GPL v2.0,no,,C,,yes,yes,yes,yes,yes,,,user defined functions,yes,yes,yes,no,Immediate Consistency,yes,ACID,yes,yes,no,yes
Firebird,"Firebird is an open source,RDBMS,forked from Borland's,InterBase",Relational DBMS,,"Score,26.49,Rank,#30,Overall,#18,Relational DBMS",www.firebirdsql.org,www.firebirdsql.org/en/reference-manuals,Firebird Foundation,2000.0,"4.0.2, August 2022",Open Source,Initial Developer's Public License,no,,C and C++,"AIX,FreeBSD,HP-UX,Linux,OS X,server-less,Solaris,Unix,Windows",yes,yes,,yes,yes,"ADO.NET,C/C++ API,JDBC,ODBC,OLE DB","C,C#,C++,Delphi,Java,JavaScript,Lua,Perl,PHP,Python,Ruby",PSQL,yes,none,Source-replica replication,no,,yes,ACID,yes,yes,,Users with fine-grained authorization concept
Couchbase,"A distributed,document store,with a powerful search engine and in-built operational and analytical capabilities",Document store,"Key-value store,Spatial DBMS","Score,25.34,Rank,#31,Overall,#5,Document stores",www.couchbase.com,docs.couchbase.com,"Couchbase, Inc.",2011.0,"Server: 7.0, July 2021; Mobile: 3, February 2022; Couchbase Capella, October 2021",Open Source,Apache version 2; Commercial licenses also available,no,,"C, C++, Go and Erlang","Linux,OS X,Windows",schema-free,yes,,yes,Declarative query language (N1QL) that extends ANSI SQL to JSON. First commercial implementation of SQL++.,"Native language bindings for CRUD, Query, Search and Analytics APIs",".Net,C,Go,Java,JavaScript,PHP,Python,Ruby,Scala",Functions and timers in JavaScript,yes,Sharding,"Multi-source replication,Source-replica replication",yes,"Eventual Consistency,Immediate Consistency",no,ACID,yes,yes,yes,User and Administrator separation with password-based and LDAP integrated Authentication
Microsoft Azure Synapse Analytics,"Elastic, large scale data warehouse service leveraging the broad eco-system of SQL Server",Relational DBMS,,"Score,24.93,Rank,#32,Overall,#19,Relational DBMS",azure.microsoft.com/services/synapse-analytics,docs.microsoft.com/azure/synapse-analytics,Microsoft,2016.0,,commercial,,yes,,C++,hosted,yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC","C#,Java,PHP",Transact SQL,no,"Sharding, horizontal partitioning",yes,no,Immediate Consistency,no,ACID,yes,yes,,yes
Informix,"A secure embeddable database from IBM, positioned besides,IBM Db2,as a relatively low-cost product optimized for OLTP and Internet of Things data",Relational DBMS,"Document store,Spatial DBMS,Time Series DBMS","Score,22.48,Rank,#33,Overall,#20,Relational DBMS",www.ibm.com/products/informix,"informix.hcldoc.com,www.ibm.com/support/knowledgecenter/SSGU8G/welcomeIfxServers.html","IBM, HCL Technologies",1984.0,"14.10.FC5, November 2020",commercial,free developer edition available,no,,"C, C++ and Java","AIX,HP-UX,Linux,macOS,Solaris,Windows",yes,yes,,yes,yes,"JDBC,JSON API,MQTT (Message Queue Telemetry Transport),ODBC,RESTful HTTP API",".Net,C,C++,Java,JavaScript (Node.js),PHP,Python,Ruby",yes,yes,Sharding,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,yes,"Users with fine-grained authentication, authorization, and auditing controls"
Memcached,"In-memory key-value store, originally intended for caching",Key-value store,,"Score,22.42,Rank,#34,Overall,#4,Key-value stores",www.memcached.org,github.com/memcached/memcached/wiki,Danga Interactive,2003.0,"1.6.19, March 2023",Open Source,BSD license,no,,C,"FreeBSD,Linux,OS X,Unix,Windows",schema-free,no,,no,no,Proprietary protocol,".Net,C,C++,ColdFusion,Erlang,Java,Lisp,Lua,OCaml,Perl,PHP,Python,Ruby",no,no,none,none,no,,no,no,yes,no,,yes
Spark SQL,Spark SQL is a component on top of 'Spark Core' for structured data processing,Relational DBMS,,"Score,20.07,Rank,#35,Overall,#21,Relational DBMS",spark.apache.org/sql,spark.apache.org/docs/latest/sql-programming-guide.html,Apache Software Foundation,2014.0,"3.4.0 ( 2.13), April 2023",Open Source,Apache 2.0,no,,Scala,"Linux,OS X,Windows",yes,yes,no,no,SQL-like DML and DDL statements,"JDBC,ODBC","Java,Python,R,Scala",no,no,"yes, utilizing Spark Core",none,,,no,no,yes,yes,no,no
Amazon Redshift,Large scale data warehouse service for use with business intelligence tools,Relational DBMS,,"Score,19.80,Rank,#36,Overall,#22,Relational DBMS",aws.amazon.com/redshift,docs.aws.amazon.com/redshift,"Amazon (based on,PostgreSQL,)",2012.0,,commercial,,yes,,C,hosted,yes,yes,no,restricted,yes,"JDBC,ODBC",All languages supporting JDBC/ODBC,user defined functions,no,Sharding,yes,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Impala,Analytic DBMS for Hadoop,Relational DBMS,Document store,"Score,19.39,Rank,#37,Overall,#23,Relational DBMS",www.cloudera.com/products/open-source/apache-hadoop/impala.html,docs.cloudera.com/documentation/enterprise/latest/topics/impala.html,Cloudera,2013.0,"4.1.0, June 2022",Open Source,Apache Version 2,no,,C++,Linux,yes,yes,no,yes,SQL-like DML and DDL statements,"JDBC,ODBC",All languages supporting JDBC/ODBC,yes,no,Sharding,selectable replication factor,yes,Eventual Consistency,no,no,yes,yes,no,"Access rights for users, groups and roles"
