Rank_Dec-2023,Rank_Nov-2023,Rank_Dec-2022,DBMS,Database Model,Score_Dec-2023,Score_Nov-2023,Score_Dec-2022,DBMS_insitelink,Multi_model_info
21.,21.,22.,FileMaker,Relational,54.18,+1.75,+0.33,https://db-engines.com/en/system/FileMaker,
22.,22.,20.,Neo4j,Graph,49.99,+0.30,-7.34,https://db-engines.com/en/system/Neo4j,
23.,23.,23.,SAP HANA,"Relational, Multi-model",48.80,-0.32,-1.40,https://db-engines.com/en/system/SAP+HANA,"Relational DBMS,Document store,Graph DBMS,Spatial DBMS"
24.,24.,24.,Solr,"Search engine, Multi-model",44.20,-0.42,-4.06,https://db-engines.com/en/system/Solr,"Search engine,Spatial DBMS"
25.,25.,25.,SAP Adaptive Server,"Relational, Multi-model",40.66,-0.83,-2.10,https://db-engines.com/en/system/SAP+Adaptive+Server,"Relational DBMS,Spatial DBMS"
26.,27.,27.,Microsoft Azure Cosmos DB,Multi-model,34.54,+0.43,-3.41,https://db-engines.com/en/system/Microsoft+Azure+Cosmos+DB,"Document store,Graph DBMS,Key-value store,Wide column store,Spatial DBMS"
27.,26.,26.,HBase,Wide column,33.10,-1.06,-6.94,https://db-engines.com/en/system/HBase,
28.,28.,28.,InfluxDB,"Time Series, Multi-model",28.12,-0.91,-2.13,https://db-engines.com/en/system/InfluxDB,"Time Series DBMS,Spatial DBMS"
29.,31.,32.,Firebird,Relational,27.93,+2.29,+3.70,https://db-engines.com/en/system/Firebird,
30.,29.,29.,PostGIS,"Spatial DBMS, Multi-model",27.36,+0.45,-1.84,https://db-engines.com/en/system/PostGIS,"Spatial DBMS,Relational DBMS"
31.,30.,34.,Microsoft Azure Synapse Analytics,Relational,26.64,-0.16,+4.39,https://db-engines.com/en/system/Microsoft+Azure+Synapse+Analytics,
32.,33.,31.,Amazon Redshift,Relational,22.23,+0.86,-3.31,https://db-engines.com/en/system/Amazon+Redshift,
33.,32.,30.,Couchbase,"Document, Multi-model",21.93,-0.57,-4.78,https://db-engines.com/en/system/Couchbase,"Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS"
34.,34.,35.,Informix,"Relational, Multi-model",20.94,+0.29,-0.97,https://db-engines.com/en/system/Informix,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS"
35.,35.,33.,Memcached,Key-value,19.16,-0.64,-5.03,https://db-engines.com/en/system/Memcached,
36.,36.,36.,Spark SQL,Relational,18.87,-0.37,-1.75,https://db-engines.com/en/system/Spark+SQL,
37.,37.,39.,Impala,"Relational, Multi-model",17.39,-0.85,-0.43,https://db-engines.com/en/system/Impala,"Relational DBMS,Document store"
38.,38.,37.,Firebase Realtime Database,Document,17.08,-0.69,-1.92,https://db-engines.com/en/system/Firebase+Realtime+Database,
39.,39.,44.,ClickHouse,"Relational, Multi-model",16.96,+0.98,+3.29,https://db-engines.com/en/system/ClickHouse,"Relational DBMS,Time Series DBMS"
40.,40.,42.,Presto,Relational,14.81,+1.04,-0.15,https://db-engines.com/en/system/Presto,
41.,42.,43.,dBASE,Relational,14.59,+0.92,+0.40,https://db-engines.com/en/system/dBASE,
42.,44.,48.,OpenSearch,"Search engine, Multi-model",13.60,+0.29,+3.28,https://db-engines.com/en/system/OpenSearch,"Search engine,Vector DBMS"
43.,45.,,Apache Flink,Relational,13.44,+0.19,,https://db-engines.com/en/system/Apache+Flink,
44.,41.,38.,Vertica,"Relational, Multi-model",13.30,-0.46,-5.21,https://db-engines.com/en/system/Vertica,"Relational DBMS,Spatial DBMS,Time Series DBMS"
45.,43.,40.,Netezza,Relational,13.17,-0.44,-3.62,https://db-engines.com/en/system/Netezza,
46.,46.,41.,CouchDB,"Document, Multi-model",13.05,+0.25,-2.47,https://db-engines.com/en/system/CouchDB,"Document store,Spatial DBMS"
47.,47.,47.,Google Cloud Firestore,Document,11.05,+0.04,-0.09,https://db-engines.com/en/system/Google+Cloud+Firestore,
48.,48.,46.,Greenplum,"Relational, Multi-model",10.57,-0.17,-0.75,https://db-engines.com/en/system/Greenplum,"Relational DBMS,Document store,Spatial DBMS"
49.,49.,45.,Amazon Aurora,"Relational, Multi-model",9.47,-0.22,-2.14,https://db-engines.com/en/system/Amazon+Aurora,"Relational DBMS,Document store"
50.,50.,52.,H2,"Relational, Multi-model",8.71,-0.33,+0.04,https://db-engines.com/en/system/H2,"Relational DBMS,Spatial DBMS"
51.,52.,55.,etcd,Key-value,8.38,-0.23,+0.42,https://db-engines.com/en/system/etcd,
52.,56.,66.,Prometheus,Time Series,8.34,+0.52,+2.05,https://db-engines.com/en/system/Prometheus,
53.,51.,59.,Kdb,Multi-model,8.28,-0.59,+1.05,https://db-engines.com/en/system/Kdb,"Time Series DBMS,Vector DBMS,Relational DBMS"
54.,57.,54.,Oracle Essbase,Relational,8.09,+0.31,-0.25,https://db-engines.com/en/system/Oracle+Essbase,
55.,58.,53.,Datastax Enterprise,"Wide column, Multi-model",8.00,+0.74,-0.63,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS"
56.,53.,51.,Realm,Document,7.96,-0.30,-0.74,https://db-engines.com/en/system/Realm,
57.,55.,49.,Hazelcast,"Key-value, Multi-model",7.92,-0.15,-1.15,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store"
58.,54.,50.,MarkLogic,Multi-model,7.79,-0.38,-1.03,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine"
59.,59.,64.,Aerospike,Multi-model,7.18,-0.04,+0.54,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS"
60.,60.,63.,Microsoft Azure Data Explorer,"Relational, Multi-model",6.93,-0.06,+0.25,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS"
61.,63.,73.,Derby,Relational,6.86,+0.21,+1.03,https://db-engines.com/en/system/Derby,
62.,61.,57.,Algolia,Search engine,6.74,-0.10,-0.72,https://db-engines.com/en/system/Algolia,
63.,65.,79.,ScyllaDB,"Wide column, Multi-model",6.56,+0.00,+1.35,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store"
64.,64.,58.,CockroachDB,Relational,6.54,-0.02,-0.86,https://db-engines.com/en/system/CockroachDB,
65.,62.,67.,Ehcache,Key-value,6.44,-0.33,+0.38,https://db-engines.com/en/system/Ehcache,
66.,66.,60.,Microsoft Azure AI Search,"Search engine, Multi-model",6.27,-0.16,-0.55,https://db-engines.com/en/system/Microsoft+Azure+AI+Search,"Search engine,Vector DBMS"
67.,70.,69.,Jackrabbit,Content,6.25,+0.27,+0.23,https://db-engines.com/en/system/Jackrabbit,
68.,72.,56.,SingleStore,"Relational, Multi-model",5.98,+0.26,-1.54,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS"
69.,69.,61.,Sphinx,Search engine,5.97,-0.03,-0.78,https://db-engines.com/en/system/Sphinx,
70.,68.,74.,Microsoft Azure Table Storage,Wide column,5.91,-0.17,+0.29,https://db-engines.com/en/system/Microsoft+Azure+Table+Storage,
71.,67.,68.,Interbase,Relational,5.90,-0.21,-0.16,https://db-engines.com/en/system/Interbase,
72.,73.,70.,Ingres,Relational,5.72,+0.03,-0.25,https://db-engines.com/en/system/Ingres,
73.,76.,76.,SAP SQL Anywhere,Relational,5.56,+0.09,+0.16,https://db-engines.com/en/system/SAP+SQL+Anywhere,
74.,81.,80.,Riak KV,Key-value,5.47,+0.63,+0.29,https://db-engines.com/en/system/Riak+KV,
75.,78.,62.,Graphite,Time Series,5.46,+0.24,-1.26,https://db-engines.com/en/system/Graphite,
76.,77.,65.,Google Cloud Datastore,Document,5.34,+0.00,-1.02,https://db-engines.com/en/system/Google+Cloud+Datastore,
77.,75.,82.,TimescaleDB,"Time Series, Multi-model",5.29,-0.23,+0.54,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS"
78.,74.,71.,Virtuoso,Multi-model,5.27,-0.34,-0.68,https://db-engines.com/en/system/Virtuoso,"Document store,Graph DBMS,Native XML DBMS,Relational DBMS,RDF store,Search engine,Spatial DBMS"
79.,84.,93.,Apache Jena - TDB,RDF,5.22,+0.77,+0.95,https://db-engines.com/en/system/Apache+Jena+-+TDB,
80.,71.,94.,Trino,"Relational, Multi-model",5.07,-0.88,+0.81,https://db-engines.com/en/system/Trino,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store"
81.,79.,77.,HyperSQL,Relational,4.85,-0.04,-0.51,https://db-engines.com/en/system/HyperSQL,
82.,80.,83.,Adabas,Multivalue,4.61,-0.24,-0.04,https://db-engines.com/en/system/Adabas,
83.,83.,78.,ArangoDB,Multi-model,4.43,-0.11,-0.92,https://db-engines.com/en/system/ArangoDB,"Document store,Graph DBMS,Key-value store,Search engine"
84.,85.,90.,"UniData,UniVerse",Multivalue,4.42,+0.04,+0.08,https://db-engines.com/en/system/UniData%2CUniVerse,
85.,89.,75.,Accumulo,Wide column,4.41,+0.27,-1.00,https://db-engines.com/en/system/Accumulo,
86.,86.,72.,Ignite,Multi-model,4.32,-0.03,-1.62,https://db-engines.com/en/system/Ignite,"Key-value store,Relational DBMS"
87.,82.,85.,SAP IQ,Relational,4.26,-0.35,-0.30,https://db-engines.com/en/system/SAP+IQ,
88.,88.,98.,TiDB,"Relational, Multi-model",4.24,+0.08,+0.72,https://db-engines.com/en/system/TiDB,"Relational DBMS,Document store"
89.,96.,84.,OrientDB,Multi-model,4.10,+0.32,-0.47,https://db-engines.com/en/system/OrientDB,"Document store,Graph DBMS,Key-value store"
90.,87.,81.,Google Cloud Bigtable,Multi-model,4.06,-0.21,-0.95,https://db-engines.com/en/system/Google+Cloud+Bigtable,"Key-value store,Wide column store"
91.,93.,153.,DuckDB,Relational,4.05,+0.03,+2.48,https://db-engines.com/en/system/DuckDB,
92.,97.,87.,Google Cloud Spanner,Relational,4.02,+0.43,-0.44,https://db-engines.com/en/system/Google+Cloud+Spanner,
93.,91.,92.,Oracle NoSQL,Multi-model,4.02,-0.04,-0.26,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS"
94.,90.,88.,RocksDB,Key-value,4.00,-0.11,-0.43,https://db-engines.com/en/system/RocksDB,
95.,95.,,GemFire,"Key-value, Multi-model",3.97,0.00,,https://db-engines.com/en/system/GemFire,"Key-value store,Document store"
96.,94.,125.,DolphinDB,"Time Series, Multi-model",3.91,-0.09,+1.55,https://db-engines.com/en/system/DolphinDB,"Time Series DBMS,Relational DBMS"
97.,98.,95.,RavenDB,"Document, Multi-model",3.90,+0.34,-0.33,https://db-engines.com/en/system/RavenDB,"Document store,Graph DBMS,Spatial DBMS,Time Series DBMS"
98.,92.,89.,OpenEdge,Relational,3.86,-0.19,-0.55,https://db-engines.com/en/system/OpenEdge,
99.,101.,91.,IBM Cloudant,Document,3.63,+0.24,-0.65,https://db-engines.com/en/system/IBM+Cloudant,
100.,99.,100.,Infinispan,Key-value,3.59,+0.05,+0.25,https://db-engines.com/en/system/Infinispan,
101.,100.,99.,MaxDB,Relational,3.52,+0.08,+0.09,https://db-engines.com/en/system/MaxDB,
102.,103.,86.,YugabyteDB,"Relational, Multi-model",3.37,0.00,-1.10,https://db-engines.com/en/system/YugabyteDB,"Relational DBMS,Document store,Wide column store"
103.,105.,,Pinecone,Vector,3.36,+0.05,,https://db-engines.com/en/system/Pinecone,
104.,108.,128.,Apache Druid,Multi-model,3.33,+0.24,+1.11,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS"
105.,111.,101.,RethinkDB,"Document, Multi-model",3.32,+0.34,+0.04,https://db-engines.com/en/system/RethinkDB,"Document store,Spatial DBMS"
106.,117.,138.,TDengine,"Time Series, Multi-model",3.21,+0.36,+1.29,https://db-engines.com/en/system/TDengine,"Time Series DBMS,Relational DBMS"
107.,109.,118.,4D,Relational,3.20,+0.15,+0.63,https://db-engines.com/en/system/4D,
108.,104.,96.,LevelDB,Key-value,3.19,-0.14,-0.47,https://db-engines.com/en/system/LevelDB,
109.,107.,200.,Memgraph,Graph,3.18,+0.08,+2.13,https://db-engines.com/en/system/Memgraph,
110.,102.,106.,Oracle Berkeley DB,Multi-model,3.14,-0.25,+0.08,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
111.,106.,126.,HEAVY.AI,"Relational, Multi-model",3.01,-0.09,+0.75,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
112.,115.,107.,Apache Phoenix,Relational,2.96,+0.10,-0.08,https://db-engines.com/en/system/Apache+Phoenix,
113.,114.,97.,PouchDB,Document,2.91,-0.01,-0.61,https://db-engines.com/en/system/PouchDB,
114.,112.,103.,EXASOL,Relational,2.91,-0.04,-0.21,https://db-engines.com/en/system/EXASOL,
115.,110.,114.,CloudKit,Document,2.86,-0.14,+0.18,https://db-engines.com/en/system/CloudKit,
116.,119.,115.,RRDtool,Time Series,2.81,+0.02,+0.16,https://db-engines.com/en/system/RRDtool,
117.,121.,104.,Citus,"Relational, Multi-model",2.81,+0.12,-0.30,https://db-engines.com/en/system/Citus,"Relational DBMS,Document store"
118.,113.,108.,Apache Drill,Multi-model,2.80,-0.14,-0.20,https://db-engines.com/en/system/Apache+Drill,"Document store,Relational DBMS"
119.,122.,110.,InterSystems Caché,Multi-model,2.80,+0.13,-0.11,https://db-engines.com/en/system/InterSystems+Cach%C3%A9,"Key-value store,Object oriented DBMS,Relational DBMS,Document store"
120.,120.,121.,GraphDB,Multi-model,2.77,+0.03,+0.31,https://db-engines.com/en/system/GraphDB,"Graph DBMS,RDF store"
121.,116.,117.,EDB Postgres,"Relational, Multi-model",2.77,-0.08,+0.19,https://db-engines.com/en/system/EDB+Postgres,"Relational DBMS,Document store,Spatial DBMS"
122.,127.,111.,Amazon Neptune,Multi-model,2.76,+0.28,-0.13,https://db-engines.com/en/system/Amazon+Neptune,"Graph DBMS,RDF store"
123.,125.,112.,LMDB,Key-value,2.75,+0.21,-0.01,https://db-engines.com/en/system/LMDB,
124.,118.,116.,InterSystems IRIS,Multi-model,2.71,-0.09,+0.12,https://db-engines.com/en/system/InterSystems+IRIS,"Document store,Key-value store,Object oriented DBMS,Relational DBMS"
125.,126.,186.,NebulaGraph,Graph,2.67,+0.13,+1.52,https://db-engines.com/en/system/NebulaGraph,
126.,123.,133.,Coveo,Search engine,2.65,-0.01,+0.54,https://db-engines.com/en/system/Coveo,
127.,131.,102.,Percona Server for MySQL,Relational,2.61,+0.25,-0.57,https://db-engines.com/en/system/Percona+Server+for+MySQL,
128.,129.,137.,Geode,Key-value,2.60,+0.15,+0.61,https://db-engines.com/en/system/Geode,
129.,130.,122.,Amazon SimpleDB,Key-value,2.55,+0.12,+0.12,https://db-engines.com/en/system/Amazon+SimpleDB,
130.,132.,120.,Amazon CloudSearch,Search engine,2.49,+0.18,+0.03,https://db-engines.com/en/system/Amazon+CloudSearch,
131.,124.,113.,IMS,Navigational,2.48,-0.17,-0.20,https://db-engines.com/en/system/IMS,
132.,128.,119.,Oracle Coherence,Key-value,2.48,+0.01,-0.01,https://db-engines.com/en/system/Oracle+Coherence,
133.,135.,132.,Datomic,Relational,2.44,+0.15,+0.30,https://db-engines.com/en/system/Datomic,
134.,134.,,Firebolt,Relational,2.42,+0.13,,https://db-engines.com/en/system/Firebolt,
135.,136.,129.,SpatiaLite,"Spatial DBMS, Multi-model",2.40,+0.17,+0.19,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
136.,141.,170.,Empress,Relational,2.31,+0.16,+0.94,https://db-engines.com/en/system/Empress,
137.,146.,147.,QuestDB,"Time Series, Multi-model",2.31,+0.30,+0.57,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS"
138.,143.,109.,JanusGraph,Graph,2.30,+0.20,-0.69,https://db-engines.com/en/system/JanusGraph,
139.,133.,150.,Stardog,Multi-model,2.28,-0.02,+0.62,https://db-engines.com/en/system/Stardog,"Graph DBMS,RDF store"
140.,140.,,Chroma,Vector,2.27,+0.10,,https://db-engines.com/en/system/Chroma,
141.,147.,143.,GridDB,"Time Series, Multi-model",2.23,+0.24,+0.41,https://db-engines.com/en/system/GridDB,"Time Series DBMS,Key-value store,Relational DBMS"
142.,139.,144.,BaseX,Native XML,2.23,+0.04,+0.43,https://db-engines.com/en/system/BaseX,
143.,137.,127.,MonetDB,"Relational, Multi-model",2.20,-0.02,-0.05,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
144.,149.,145.,Db4o,Object oriented,2.15,+0.21,+0.36,https://db-engines.com/en/system/Db4o,
145.,142.,141.,Amazon DocumentDB,Document,2.14,+0.03,+0.28,https://db-engines.com/en/system/Amazon+DocumentDB,
146.,138.,140.,jBASE,Multivalue,2.07,-0.13,+0.21,https://db-engines.com/en/system/jBASE,
147.,152.,124.,GridGain,Multi-model,2.07,+0.16,-0.31,https://db-engines.com/en/system/GridGain,"Key-value store,Relational DBMS"
148.,155.,123.,OpenTSDB,Time Series,2.05,+0.18,-0.34,https://db-engines.com/en/system/OpenTSDB,
149.,150.,281.,Weaviate,Vector,2.03,+0.09,+1.64,https://db-engines.com/en/system/Weaviate,
150.,145.,136.,Tibero,Relational,2.03,-0.01,+0.01,https://db-engines.com/en/system/Tibero,
151.,153.,149.,Dgraph,Graph,2.00,+0.09,+0.28,https://db-engines.com/en/system/Dgraph,
152.,148.,135.,TigerGraph,Graph,1.97,-0.02,-0.11,https://db-engines.com/en/system/TigerGraph,
153.,144.,154.,Mnesia,Document,1.95,-0.10,+0.39,https://db-engines.com/en/system/Mnesia,
154.,163.,131.,VoltDB,Relational,1.94,+0.23,-0.19,https://db-engines.com/en/system/VoltDB,
155.,160.,,PlanetScale,"Relational, Multi-model",1.93,+0.17,,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
156.,162.,134.,TimesTen,Relational,1.89,+0.17,-0.22,https://db-engines.com/en/system/TimesTen,
157.,161.,152.,Actian NoSQL Database,Object oriented,1.85,+0.09,+0.24,https://db-engines.com/en/system/Actian+NoSQL+Database,
158.,151.,146.,Tarantool,Multi-model,1.84,-0.10,+0.07,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
159.,154.,151.,SQLBase,Relational,1.83,-0.08,+0.21,https://db-engines.com/en/system/SQLBase,
160.,156.,179.,Sedna,Native XML,1.81,+0.01,+0.61,https://db-engines.com/en/system/Sedna,
161.,164.,142.,FoundationDB,Multi-model,1.80,+0.10,-0.03,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS"
162.,166.,130.,IBM Db2 warehouse,Relational,1.79,+0.18,-0.37,https://db-engines.com/en/system/IBM+Db2+warehouse,
163.,158.,139.,Fauna,Multi-model,1.76,-0.03,-0.12,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
164.,172.,171.,DataEase,Relational,1.75,+0.25,+0.38,https://db-engines.com/en/system/DataEase,
165.,168.,148.,ObjectStore,Object oriented,1.73,+0.16,+0.01,https://db-engines.com/en/system/ObjectStore,
166.,170.,156.,LiteDB,Document,1.72,+0.16,+0.19,https://db-engines.com/en/system/LiteDB,
167.,177.,166.,Giraph,Graph,1.72,+0.28,+0.31,https://db-engines.com/en/system/Giraph,
168.,178.,168.,GT.M,Key-value,1.71,+0.28,+0.31,https://db-engines.com/en/system/GT.M,
169.,157.,177.,OceanBase,"Relational, Multi-model",1.68,-0.10,+0.48,https://db-engines.com/en/system/OceanBase,"Relational DBMS,Document store,Wide column store"
170.,174.,196.,D3,Multivalue,1.64,+0.14,+0.57,https://db-engines.com/en/system/D3,
171.,169.,158.,mSQL,Relational,1.63,+0.06,+0.13,https://db-engines.com/en/system/mSQL,
172.,159.,159.,Datameer,Document,1.55,-0.22,+0.07,https://db-engines.com/en/system/Datameer,
173.,173.,162.,Cubrid,Relational,1.54,+0.04,+0.11,https://db-engines.com/en/system/Cubrid,
174.,167.,167.,NonStop SQL,Relational,1.52,-0.07,+0.12,https://db-engines.com/en/system/NonStop+SQL,
175.,171.,244.,Milvus,Vector,1.49,-0.02,+0.83,https://db-engines.com/en/system/Milvus,
176.,179.,157.,ObjectBox,"Object oriented, Multi-model",1.48,+0.11,-0.06,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Time Series DBMS"
177.,185.,160.,Oracle Rdb,Relational,1.47,+0.18,+0.03,https://db-engines.com/en/system/Oracle+Rdb,
178.,175.,209.,VictoriaMetrics,Time Series,1.47,-0.01,+0.49,https://db-engines.com/en/system/VictoriaMetrics,
179.,184.,165.,GBase,Relational,1.46,+0.17,+0.06,https://db-engines.com/en/system/GBase,
180.,180.,169.,HFSQL,Relational,1.46,+0.09,+0.08,https://db-engines.com/en/system/HFSQL,
181.,165.,161.,Infobright,Relational,1.42,-0.19,-0.01,https://db-engines.com/en/system/Infobright,
182.,189.,180.,SQL.JS,Relational,1.42,+0.16,+0.22,https://db-engines.com/en/system/SQL.JS,
183.,176.,155.,Apache Kylin,Relational,1.39,-0.07,-0.15,https://db-engines.com/en/system/Apache+Kylin,
184.,190.,176.,EventStoreDB,Event,1.38,+0.13,+0.13,https://db-engines.com/en/system/EventStoreDB,
185.,194.,172.,Apache HAWQ,Relational,1.38,+0.19,+0.02,https://db-engines.com/en/system/Apache+HAWQ,
186.,186.,173.,GigaSpaces,Multi-model,1.36,+0.07,+0.05,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine"
187.,211.,212.,Dolt,"Relational, Multi-model",1.36,+0.30,+0.45,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store"
188.,188.,218.,Northgate Reality,Multivalue,1.35,+0.10,+0.50,https://db-engines.com/en/system/Northgate+Reality,
189.,181.,206.,Meilisearch,Search engine,1.35,+0.00,+0.35,https://db-engines.com/en/system/Meilisearch,
190.,200.,190.,1010data,Relational,1.34,+0.20,+0.23,https://db-engines.com/en/system/1010data,
191.,183.,184.,Perst,Object oriented,1.34,+0.03,+0.19,https://db-engines.com/en/system/Perst,
192.,201.,240.,Apache IoTDB,Time Series,1.31,+0.19,+0.62,https://db-engines.com/en/system/Apache+IoTDB,
193.,199.,182.,openGauss,"Relational, Multi-model",1.31,+0.17,+0.14,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
194.,197.,181.,NuoDB,Relational,1.30,+0.16,+0.10,https://db-engines.com/en/system/NuoDB,
195.,203.,188.,Model 204,Multivalue,1.28,+0.17,+0.16,https://db-engines.com/en/system/Model+204,
196.,204.,183.,ZODB,Key-value,1.27,+0.16,+0.11,https://db-engines.com/en/system/ZODB,
197.,182.,197.,MatrixOne,Relational,1.25,-0.08,+0.19,https://db-engines.com/en/system/MatrixOne,
198.,213.,175.,Altibase,Relational,1.25,+0.21,+0.00,https://db-engines.com/en/system/Altibase,
199.,202.,323.,Qdrant,Vector,1.25,+0.14,+1.05,https://db-engines.com/en/system/Qdrant,
200.,210.,189.,Hibari,Key-value,1.25,+0.18,+0.14,https://db-engines.com/en/system/Hibari,
201.,207.,193.,Xapian,Search engine,1.25,+0.16,+0.15,https://db-engines.com/en/system/Xapian,
202.,191.,164.,HPE Ezmeral Data Fabric,Multi-model,1.22,-0.02,-0.19,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store"
203.,219.,192.,IDMS,Navigational,1.19,+0.22,+0.09,https://db-engines.com/en/system/IDMS,
204.,208.,208.,DBISAM,Relational,1.19,+0.11,+0.21,https://db-engines.com/en/system/DBISAM,
205.,193.,222.,M3DB,Time Series,1.19,-0.01,+0.39,https://db-engines.com/en/system/M3DB,
206.,214.,202.,Amazon Timestream,Time Series,1.19,+0.19,+0.15,https://db-engines.com/en/system/Amazon+Timestream,
207.,223.,219.,WebSphere eXtreme Scale,Key-value,1.18,+0.24,+0.35,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,
208.,192.,163.,AllegroGraph,Multi-model,1.18,-0.02,-0.24,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS"
